Model,Anomaly,n_seeds,auc_mean,auc_ci95,f1_mean,f1_ci95,precision_mean,precision_ci95,recall_mean,recall_ci95
AE-LSTM-ATT,spike,5,1.0000,0.0000,0.2009,0.5546,0.2005,0.5550,0.4000,0.6801
AE-LSTM-ATT,step,5,1.0000,0.0000,0.4463,0.5437,0.6000,0.6801,0.3786,0.5144
AE-LSTM-ATT,freeze_zero,5,0.4480,0.0193,0.6445,0.0752,0.5060,0.0366,0.8931,0.1705
AE-LSTM-ATT,freeze_last_value,5,0.5177,0.0591,0.6820,0.0197,0.5215,0.0245,0.9867,0.0351
LSTM-AE,spike,5,1.0000,0.0000,0.2023,0.5537,0.2012,0.5545,0.4000,0.6801
LSTM-AE,step,5,1.0000,0.0000,0.5220,0.6028,0.6000,0.6801,0.4715,0.5648
LSTM-AE,freeze_zero,5,0.4326,0.0731,0.6295,0.1314,0.4981,0.0446,0.8833,0.3045
LSTM-AE,freeze_last_value,5,0.4908,0.0456,0.6704,0.0167,0.5096,0.0168,0.9809,0.0520
Isolation Forest,spike,5,0.5099,0.4311,0.0027,0.0043,0.0013,0.0022,0.5520,0.6374
Isolation Forest,step,5,0.5763,0.0917,0.6560,0.0225,0.5175,0.0101,0.9004,0.1029
Isolation Forest,freeze_zero,5,0.3941,0.0712,0.6397,0.0271,0.4899,0.0086,0.9231,0.0838
Isolation Forest,freeze_last_value,5,0.5104,0.0748,0.6545,0.0229,0.4956,0.0124,0.9637,0.0526
